LocationKey,LocationName,Address,Latitude,Longitude,ShortDescription,LongDescription,WebsiteURL,PhoneNumber
CALL2RECYCLE,Call 2 Recycle,,,,"On behalf of corporate stewards, we optimize collection, share our experience and responsibly manage the end-of-life of batteries and other material.",Visit the website to find the location nearest you.,https://www.call2recycle.ca/locator/,
CITY-BLUEBOX,City of Sault Ste. Marie Recycling Program - Blue Lid,,,,"Every week, the City collects select recyclables from residents curb-side.","The blue lid side of the recycling cart is used for certain metals, plastics, and glass.  See the website for more information.",http://saultstemarie.ca/City-Hall/City-Departments/Public-Works-Engineering-Services/Public-Works/Waste-Management/Recycling/Cart-Collection-System.aspx,
CITY-YARDWASTE,City of Sault Ste. Marie Curb Side Yard Waste Collection,,,,"The City of Sault Ste. Marie provides bi-weekly collection of leaf and yard waste, which is processed into compost. There is no bag limit for leaf and yard waste.",Visit the website to view the current pickup schedules for your address.,http://saultstemarie.ca/leafyardwaste,
HABITAT,Habitat for Humanity ReStore,32 White Oak Drive,,,"Sells new and gently used building supplies, furniture, and appliances.",,http://www.habitatsault.ca/index.php/donaterestore,
HAZARDOUSWASTE,City of Sault Ste. Marie Household Hazardous Waste Depot,402 Fifth Line East,,,Accepts a variety of hazardous waste items.,Closed for the season,http://saultstemarie.ca/hazardouswaste,
HUMANESOCIETY,Sault Ste. Marie Humane Society,962 Second Line East,,,An animal welfare organization and provides animal control services to the City of Sault Ste. Marie.,The shelter welcomes a number of items to give the animals some comfort and pleasure.,https://ssmhumanesociety.ca/how_you_can_help/,
LEMIEUX,Lemieux Composting,764 Black Road,,,A locally owned and operated business supplying organic compost.,,http://www.lemieuxcomposting.com/,
OMRP,Ontario Medications Return Program,,,,"OMRP covers all prescription drugs, medications such as over-the-counter medications, including topical antibiotic and antifungal creams and natural health products that are orally ingested, such as vitamins and minerals, traditional Chinese medicines, herbal products, probiotics, amino acids, homeopathic medicines and the like are also included.",Visit the website to find a participating pharmacy near you.,http://www.healthsteward.ca/returns/ontario,
OSCP,Ontario Sharps Collection Program,,,,"OSCP covers infusion sets, lancets, safety lancets, needles, pen, pen needles, safety pens, prefilled cartridges, prefilled syringes and syringes.",Visit the website to find a participating pharmacy near you.,http://www.healthsteward.ca/returns/ontario,
ORANGEDROP,Orange Drop,,,,"The Orange Drop Program provides Ontario residents with a free, safe and easy way to dispose of household products that require special handling.",Visit the website to find the location nearest you.,http://www.makethedrop.ca/locator/,
